,slope,offset
-10,3.900013807597597,-1588.901328632935
-9,3.9717524297162057,-1572.9643607318244
-8,4.04448302050965,-1553.157558314483
-7,4.119424012894884,-1531.8574189165702
-6,4.196890433210939,-1509.3746631171264
-5,4.2769868934738335,-1485.575738525699
-4,4.359810734691047,-1460.3371742892177
-3,4.445497245729869,-1433.6024155317932
-2,4.534128443627193,-1405.3088877819994
-1,4.625976660463203,-1375.4658408883593
0,4.721292204620652,-1344.1570053110693
1,4.820231352084851,-1311.2209127796054
2,4.92270051200747,-1276.1907715247341
3,5.0291412377070985,-1239.2617564297902
4,5.13983895766783,-1200.3969277642157
5,5.254845654971609,-1159.2246273413589
6,5.3741940181529655,-1115.4055150107401
7,5.498672120573614,-1069.4455354870233
8,5.625373626322078,-1016.8329874458653
9,5.757058454663072,-960.992736690376
10,5.894716821876337,-902.5729705901142
11,6.038758316971399,-841.4022773745385
12,6.189740441906973,-777.5092623269509
13,6.348067571942731,-710.5197273251932
14,6.514311025492206,-640.250859177704
15,6.689088379827135,-566.4611675280474
16,6.873057356048149,-488.87449917451204
17,7.06698636763366,-407.2824639441466
18,7.27174583495071,-321.4350152345569
19,7.488225365302792,-230.85913391738927
20,7.717462918514034,-135.15716701901871
