,COP
-10.0,3.410899096798142
-9.0,3.474969801872795
-8.0,3.541340296494761
-7.0,3.6101314562712084
-6.0,3.681472800971608
-5.0,3.755503280736046
-4.0,3.832372149659673
-3.0,3.912239938295445
-2.0,3.995279538392534
-1.0,4.081677415276255
0.0,4.171634965741583
1.0,4.265370042249608
2.0,4.363118667681088
3.0,4.465136969030962
4.0,4.5717033633624125
5.0,4.683121035264971
6.0,4.799720752193874
7.0,4.9218640726997425
8.0,5.049947013032739
9.0,5.184404250385682
10.0,5.32571395669198
11.0,5.474403376161484
12.0,5.631055283563157
13.0,5.796315489890559
14.0,5.970901599075374
15.0,6.155613265966022
16.0,6.351344264667465
17.0,6.559096751266552
18.0,6.779998200978936
19.0,7.015321623632581
20.0,7.266509822448876
21.0,7.535204672107267
22.0,7.823282670935421
23.0,8.132898393873282
24.0,8.46653797336813
25.0,8.82708541605059
26.0,9.217905498999379
27.0,9.642948291591841
28.0,10.10688218385901
29.0,10.615264923560419
30.0,11.17476596509995
31.0,11.793459034706819
